,human_baseline_summaries,original_model_summaries,peft_model_summaries
230,#Person1# and #Person2# are scheduling to talk about the sales projections for next year and they decide to meet next Tuesday.,#Person1#: I'm having a hard time figuring out how to use the sales projections for next year. #Person2#: I'll explain them to you in about half an hour. #Person1#: OK. I'll come to your office on Tuesday at 2:30.,#Person1# wants to talk to #Person2# about the sales projections for next year. #Person2# will explain the spreadsheet to #Person1# and will show #Person1# how to set up the macros next week.
231,#Person1# is going to New York for the first time. #Person2# suggests #Person1# use a personal tour guide service to make #Person1#'s trip plan.,#Person1#: I'm going to New York for the first time. Can you recommend a tour guide service?,#Person1# is going to New York for the first time and wants to find a tour guide. #Person2# recommends a service called 'A friend in New York' and tells #Person1# how to get the questionnaire.
232,#Person2# recommends a personal tour guide service to #Person1#.,#Person1#: I'm going to New York for the first time. Can you recommend a tour guide service?,#Person1# is going to New York for the first time and wants to find a tour guide. #Person2# recommends a service called 'A friend in New York' and tells #Person1# how to get the questionnaire.
233,#Person2# introduces #Person1# a website for personal tour guide service.,#Person1#: I'm going to New York for the first time. Can you recommend a tour guide service?,#Person1# is going to New York for the first time and wants to find a tour guide. #Person2# recommends a service called 'A friend in New York' and tells #Person1# how to get the questionnaire.
234,"#Person1# is interviewing #Person2#. They discuss department #Person2# wants to work in, salary, and fringe benefits.",The company is based in Shanghai.,"#Person1# introduces the company to #Person2# and tells #Person2# the salary, fringe benefits, and insurance. #Person2# will buy full health insurance for #Person2#."
235,"#Person1# asks #Person2# how well #Person2# knows about the company, #Person2#'s ideal department, and current salary. #Person2# also asks #Person1# about the company's benefits and insurance.",The company is based in Shanghai.,"#Person1# introduces the company to #Person2# and tells #Person2# the salary, fringe benefits, and insurance. #Person2# will buy full health insurance for #Person2#."
236,"#Person1# interviews #Person2# about the understanding of this company, personal preference, and salary expectation. #Person2# asks about the fringe benefits.",The company is based in Shanghai.,"#Person1# introduces the company to #Person2# and tells #Person2# the salary, fringe benefits, and insurance. #Person2# will buy full health insurance for #Person2#."
237,#Person1# comes to sign an agreement but it isn't ready until evening. So #Person1# is going through the draft.,The agreement hasn't been fully prepared.,#Person1# is here to sign the agreement. #Person2# will try to speed up the preparation and will type the agreement this evening and duplicate it for signatures.
238,#Person1# is checking the draft of an agreement and #Person2# will finish the agreement this evening.,The agreement hasn't been fully prepared.,#Person1# is here to sign the agreement. #Person2# will try to speed up the preparation and will type the agreement this evening and duplicate it for signatures.
239,#Person2# gives #Person1# an agreement draft and #Person1# thinks it good. #Person2# will get the agreement ready this evening.,The agreement hasn't been fully prepared.,#Person1# is here to sign the agreement. #Person2# will try to speed up the preparation and will type the agreement this evening and duplicate it for signatures.
240,#Person1# rent a car from ABC Rent-a-car Company this morning and met an accident. #Person2# will call an ambulance and police for #Person1#.,The car accident happened near the border.,#Person1# rented a car and is on the way to Niagara Falls. #Person2# tells #Person1# about the car accident and how it happened.
241,#Person1# tells ABC Rent-a-car Company that #Person1# had a car accident. #Person2# will call an ambulance and the police.,The car accident happened near the border.,#Person1# rented a car and is on the way to Niagara Falls. #Person2# tells #Person1# about the car accident and how it happened.
242,#Person1# calls ABC Rent-a-car Company to report #Person1#'s car accident. #Person2# will call an ambulance and the police.,The car accident happened near the border.,#Person1# rented a car and is on the way to Niagara Falls. #Person2# tells #Person1# about the car accident and how it happened.
243,#Person1# is lost on the way to the school clinic. #Person2# shows #Person1# the correct direction.,The first turning on the right is the school clinic.,#Person1# lost the way to the school clinic. #Person2# tells #Person1# to go straight ahead till you come to the traffic lights.
244,"#Person1# lost #Person1#'s way to the school clinic, #Person2# guides #Person1#.",The first turning on the right is the school clinic.,#Person1# lost the way to the school clinic. #Person2# tells #Person1# to go straight ahead till you come to the traffic lights.
245,"#Person1# is lost, #Person2# shows the direction to the school clinic.",The first turning on the right is the school clinic.,#Person1# lost the way to the school clinic. #Person2# tells #Person1# to go straight ahead till you come to the traffic lights.
246,#Person2# wants to change her room because the baggage elevator is too noisy. #Person1# is sorry and tells her #Person1# will manage it when there's a spare room.,#Person1#: Good morning. How may I help you?,#Person2# wants to change her room because it's too noisy. #Person1# apologizes and offers to change the room tomorrow. #Person2# will be able to enjoy the stay in a quiet suite tomorrow evening and have a sound sleep.
247,"#Person2# wants to change a room because it's too noisy, but #Person1# tells #Person2# there are no rooms left so #Person2# has to wait till tomorrow.",#Person1#: Good morning. How may I help you?,#Person2# wants to change her room because it's too noisy. #Person1# apologizes and offers to change the room tomorrow. #Person2# will be able to enjoy the stay in a quiet suite tomorrow evening and have a sound sleep.
248,#Person2# cannot stand the noise near her room and #Person1# promises to change her room tomorrow as there is no room available today.,#Person1#: Good morning. How may I help you?,#Person2# wants to change her room because it's too noisy. #Person1# apologizes and offers to change the room tomorrow. #Person2# will be able to enjoy the stay in a quiet suite tomorrow evening and have a sound sleep.
249,#Person1# is driving #Person2# to the Beijing hotel. #Person2# will attend a banquet at six o'clock in the International Hotel.,The car will pick you up at the Beijing hotel in 10 minutes.,#Person1# gives #Person2# a car and asks #Person2# to get in the back. #Person2# is tired and will go to the Beijing hotel in another ten minutes. #Person2# will go to the banquet in honor of #Person2# in the evening.
250,#Person1# warmly welcomes #Person2# and drives #Person2# to the Beijing Hotel. Mr. Wu has arranged a banquet for #Person2# in the evening.,The car will pick you up at the Beijing hotel in 10 minutes.,#Person1# gives #Person2# a car and asks #Person2# to get in the back. #Person2# is tired and will go to the Beijing hotel in another ten minutes. #Person2# will go to the banquet in honor of #Person2# in the evening.
251,#Person1# has arranged everything for #Person2# after #Person2# arrives in Beijing and invites #Person2# to a banquet.,The car will pick you up at the Beijing hotel in 10 minutes.,#Person1# gives #Person2# a car and asks #Person2# to get in the back. #Person2# is tired and will go to the Beijing hotel in another ten minutes. #Person2# will go to the banquet in honor of #Person2# in the evening.
252,#Person1# gets lost on the way to Liu Ichang. #Person2# tells #Person1# to take Bus No. 713 because it's far.,"#Person1#: Excuse me, I'm lost.",#Person1# is lost and asks #Person2# to show #Person1# where #Person1# is. #Person2# tells #Person1# the way to Liu Ichang and tells #Person1# how to get there.
253,#Person2# helps #Person1# to find out the location of Liu Ichang and tells #Person1# to take Bus No. 173.,"#Person1#: Excuse me, I'm lost.",#Person1# is lost and asks #Person2# to show #Person1# where #Person1# is. #Person2# tells #Person1# the way to Liu Ichang and tells #Person1# how to get there.
254,#Person1# gets lost and #Person2# shows the way to Liu Ichang to #Person1#.,"#Person1#: Excuse me, I'm lost.",#Person1# is lost and asks #Person2# to show #Person1# where #Person1# is. #Person2# tells #Person1# the way to Liu Ichang and tells #Person1# how to get there.
255,#Person2# finds that the computer has stopped running. #Person1# suggests #Person2# ring up the repairmen.,#Person1#: I'm having a computer problem.,#Person2#'s computer stops running because it stops running. #Person1# suggests #Person2# call the repairmen and they will solve the problem.
256,#Person1# advises #Person2# to call the repairmen to fix #Person2#'s computer.,#Person1#: I'm having a computer problem.,#Person2#'s computer stops running because it stops running. #Person1# suggests #Person2# call the repairmen and they will solve the problem.
257,#Person2#'s computer breaks down and #Person1# suggests ringing up the repairman.,#Person1#: I'm having a computer problem.,#Person2#'s computer stops running because it stops running. #Person1# suggests #Person2# call the repairmen and they will solve the problem.
258,"#Person2# wants to buy a gift for his mother's birthday. After knowing his mother's preference, #Person1# recommends a gold watch.","#Person1#: I'm looking for a nice gift for my mother. It's her birthday tomorrow. #Person2#: Yes, I'm looking for a necklace. #Person1#: Yes, that's right. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well,","#Person2# is looking for a nice gift for his mother. #Person1# recommends a gold watch with big, clear numbers and a watch with clear numbers. #Person2# will take it."
259,"#Person1# helps #Person2# pick a gift for #Person2#'s mother, and #Person2# decides to buy a watch.","#Person1#: I'm looking for a nice gift for my mother. It's her birthday tomorrow. #Person2#: Yes, I'm looking for a necklace. #Person1#: Yes, that's right. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well,","#Person2# is looking for a nice gift for his mother. #Person1# recommends a gold watch with big, clear numbers and a watch with clear numbers. #Person2# will take it."
260,#Person2# is looking for a gift for his mother in a shop and #Person1# gives him some helpful suggestions.,"#Person1#: I'm looking for a nice gift for my mother. It's her birthday tomorrow. #Person2#: Yes, I'm looking for a necklace. #Person1#: Yes, that's right. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well, I'm not sure what to buy. #Person1#: Well, I'm not sure what to buy. #Person2#: Well,","#Person2# is looking for a nice gift for his mother. #Person1# recommends a gold watch with big, clear numbers and a watch with clear numbers. #Person2# will take it."
261,"Ms. Ross and Mr. Fisher are having a coffee chat face to face. They talk about their career, child, life, and then get down to business. Ms. Ross will provide service for a presentation on Saturday 24 October in the morning held by Mr. Fisher. They are discussing the preparations as time, food, furniture, guest numbers. A problem is Mr. Fisher sent out 100 invitations but the room's capacity is only about 50.","#Person1#: Hello, Mr. Fisher.","Mr. Fisher invites Ms. Ross to the presentation. Mr. Fisher tells her the time and date of the presentation and the equipment. They will charge for the room, coffee and snack buffet, and drinks and snacks at the end. They will have a buffet lunch and the room will be the only one they have that day."
262,Ms. Ross helps Mr. Fisher make arrangements for a presentation. Mr. Fisher decides to serve a pre-lunch snack buffet and designs the room setting. Mr. Fisher isn't sure about how many people to come and Ms. Ross is worried that there might be too many people because the room is small.,"#Person1#: Hello, Mr. Fisher.","Mr. Fisher invites Ms. Ross to the presentation. Mr. Fisher tells her the time and date of the presentation and the equipment. They will charge for the room, coffee and snack buffet, and drinks and snacks at the end. They will have a buffet lunch and the room will be the only one they have that day."
263,"Ms. Ross and Mr. Fisher start the conversation with greetings. Then they discuss the preparation for a presentation. Ms. Ross confirms the details of the presentation, including schedule, food service. Ms. Ross is concerned that Mr. Fisher's sent too many invitations than the room capacity.","#Person1#: Hello, Mr. Fisher.","Mr. Fisher invites Ms. Ross to the presentation. Mr. Fisher tells her the time and date of the presentation and the equipment. They will charge for the room, coffee and snack buffet, and drinks and snacks at the end. They will have a buffet lunch and the room will be the only one they have that day."
264,"#Person2# tells #Person1#, in Russia, things happen very fast except for bank business, while in Canada people are calmer.","In Canada, things are much faster in Russia.","#Person1# and #Person2# talk about the main differences between Russia and Canada. #Person2# thinks the people in Russia are fast movers by nature, while in Canada, they are more relaxed in general."
265,#Person1# and #Person2# are talking about the differences between Russia and Canada. #Person2# tells #Person1# that almost everything in Russia happens fast while it's the opposite in Canada.,"In Canada, things are much faster in Russia.","#Person1# and #Person2# talk about the main differences between Russia and Canada. #Person2# thinks the people in Russia are fast movers by nature, while in Canada, they are more relaxed in general."
266,"#Person1# and #Person2# are sharing their opinions towards how different is Russia from Canada in lifestyle, especially the speed in life.","In Canada, things are much faster in Russia.","#Person1# and #Person2# talk about the main differences between Russia and Canada. #Person2# thinks the people in Russia are fast movers by nature, while in Canada, they are more relaxed in general."
267,#Person2# thought to travel to the Caribbean Sea. #Person1# went there last year and thinks the weather can sometimes be really bad.,#Person1#: I'm thinking about going on a voyage to the Caribbean Sea this year.,#Person1# and #Person2# are thinking about going on a voyage to the Caribbean Sea. #Person2# has been reading weather reports for the Caribbean on the internet and thinks it's a beautiful part of the world. #Person2# will have to hope for the best.
268,#Person2# wanted to travel to the Caribbean Sea and but is worried about the storms.,#Person1#: I'm thinking about going on a voyage to the Caribbean Sea this year.,#Person1# and #Person2# are thinking about going on a voyage to the Caribbean Sea. #Person2# has been reading weather reports for the Caribbean on the internet and thinks it's a beautiful part of the world. #Person2# will have to hope for the best.
269,#Person2# hasn't decided to go to the Caribbean Sea on vacation because #Person2# is concerned about the storms there.,#Person1#: I'm thinking about going on a voyage to the Caribbean Sea this year.,#Person1# and #Person2# are thinking about going on a voyage to the Caribbean Sea. #Person2# has been reading weather reports for the Caribbean on the internet and thinks it's a beautiful part of the world. #Person2# will have to hope for the best.
270,#Person1# and #Person1#'s mother are preparing the fruits they are going to take to the picnic.,The picnic is on the outskirts of town.,#Person1# and #Person2# are going to take some fruit on the picnic.
271,#Person1# and #Person2# prepare the fruits for the picnic.,The picnic is on the outskirts of town.,#Person1# and #Person2# are going to take some fruit on the picnic.
272,#Person1# and #Person2# are preparing fruits for the picnic.,The picnic is on the outskirts of town.,#Person1# and #Person2# are going to take some fruit on the picnic.
273,#Person1# wants to rent an economy car from #Person2# for $19 a day or $129 a week.,Rent a car for a day or a week.,#Person1# wants to rent an economy car for tomorrow morning. #Person2# shows #Person1# the driver's license and asks #Person1# to complete the form.
274,#Person1# rents a car from #Person2#,Rent a car for a day or a week.,#Person1# wants to rent an economy car for tomorrow morning. #Person2# shows #Person1# the driver's license and asks #Person1# to complete the form.
275,#Person1# rents an economy car in #Person2#'s shop.,Rent a car for a day or a week.,#Person1# wants to rent an economy car for tomorrow morning. #Person2# shows #Person1# the driver's license and asks #Person1# to complete the form.
276,#Person1# hates those who keep smiling at #Person1# and #Person2# is fed up with those who keep a straight face in front of #Person2#.,Observe the situation.,#Person1# is fed up with people who keep a straight face in front of #Person2#. #Person2# is fed up with those who keep smiling to #Person2#.
277,"#Person2# is fed up with people with a straight face, and #Person1# hates people keeping smiling to #Person1#.",Observe the situation.,#Person1# is fed up with people who keep a straight face in front of #Person2#. #Person2# is fed up with those who keep smiling to #Person2#.
278,#Person1# and #Person2# hold different opinions towards people with different facial expressions.,Observe the situation.,#Person1# is fed up with people who keep a straight face in front of #Person2#. #Person2# is fed up with those who keep smiling to #Person2#.
279,"#Person1# and #Person2# are talking about the good performance of their business for last year. #Person2# thinks the success is partly because of Wallace's contribution, and partly because of their new marketing strategy.",The company's sales review is in the books.,#Person1# and #Person2# are talking about sales for last year. They are happy with their growth this year and their performance has improved since Wallace became president. They hope this stroke of good luck lasts.
280,#Person1# and #Person2# talk about the success of their business and attribute the success to Wallace's contribution and the new marketing strategy. They hope good luck can last.,The company's sales review is in the books.,#Person1# and #Person2# are talking about sales for last year. They are happy with their growth this year and their performance has improved since Wallace became president. They hope this stroke of good luck lasts.
281,#Person1# and #Person2# are pleasant to see their business performance has improved last year. They think the credits should be given to Wallace and the new marketing strategy.,The company's sales review is in the books.,#Person1# and #Person2# are talking about sales for last year. They are happy with their growth this year and their performance has improved since Wallace became president. They hope this stroke of good luck lasts.
282,#Person2# left #Person2#'s backpack and wallet in a taxi and failed to contact the driver because #Person2# didn't have the number. #Person1# lends 50 dollars to #Person1# and will drive #Person2# home.,Person1 lost his backpack.,#Person2# lost his backpack and his wallet. #Person1# helps #Person2# borrow 50 dollars and will drive #Person2# home.
283,#Person2# borrows some money from #Person1# because #Person2#'s backpack and wallet were lost and cannot take it back. #Person1# will drive #Person2# home.,Person1 lost his backpack.,#Person2# lost his backpack and his wallet. #Person1# helps #Person2# borrow 50 dollars and will drive #Person2# home.
284,"#Person2# lost #Person2#'s backpack, wallet, and money in a taxi. #Person1# lends #Person2# some money and will take #Person2# home.",Person1 lost his backpack.,#Person2# lost his backpack and his wallet. #Person1# helps #Person2# borrow 50 dollars and will drive #Person2# home.
285,Steven and Lin just had a great meal. Then they talk about the different tipping cultures between America and China.,The food was delicious.,Lin tells Steven that Steven's been to Beijing and Lin's not tipping. Lin thinks it's a civilized system and Lin thinks Steven would have a revolution if Steven tried to introduce that system.
286,Steven buys Lin a magnificent dinner in America and they then talk about the tipping culture in China and America.,The food was delicious.,Lin tells Steven that Steven's been to Beijing and Lin's not tipping. Lin thinks it's a civilized system and Lin thinks Steven would have a revolution if Steven tried to introduce that system.
287,Steven treats Lin to a nice meal. Then they talk about the tipping cultures in their countries.,The food was delicious.,Lin tells Steven that Steven's been to Beijing and Lin's not tipping. Lin thinks it's a civilized system and Lin thinks Steven would have a revolution if Steven tried to introduce that system.
288,Bill is happy because he made a move to know his roommate today.,Bill moved to a new apartment.,Bill tells #Person1# he made a move today. Bill tells #Person1# he has a roommate and he looks like a man.
289,#Person1# and Bill talk about Bill's roommate Brain Locker.,Bill moved to a new apartment.,Bill tells #Person1# he made a move today. Bill tells #Person1# he has a roommate and he looks like a man.
290,Bill tells #Person1# that he has made a move to read of his roommate.,Bill moved to a new apartment.,Bill tells #Person1# he made a move today. Bill tells #Person1# he has a roommate and he looks like a man.
291,#Person2# checks Tom Wilson's information and Tom pays his hotel and meal bill.,The total bill is 660 US dollars.,Tom Wilson wants to pay his bill by credit card. #Person2# tells him he has stayed for four nights at 90 US dollars each and he pays by credit card.
292,Tom Wilson pays for his bill for hotel and food by credit card.,The total bill is 660 US dollars.,Tom Wilson wants to pay his bill by credit card. #Person2# tells him he has stayed for four nights at 90 US dollars each and he pays by credit card.
293,Tom Wilson pays the bill for his room and meal cost by credit card.,The total bill is 660 US dollars.,Tom Wilson wants to pay his bill by credit card. #Person2# tells him he has stayed for four nights at 90 US dollars each and he pays by credit card.
294,Susan calls Carol to ask about the party time. But Carol is taking a shower so #Person1# answers for her.,Carol telephones Susan.,Susan calls Carol to ask her if it's important to go to the party. Carrollite Susan tells Carol it's tomorrow night at 8:30 at Jills House.
295,"Carol is taking a shower when Carol calls her, so #Person1# answers the telephone and tells her the party time.",Carol telephones Susan.,Susan calls Carol to ask her if it's important to go to the party. Carrollite Susan tells Carol it's tomorrow night at 8:30 at Jills House.
296,Susan calls to ask Carol about the party time. #Person1# answers the phone and tells her.,Carol telephones Susan.,Susan calls Carol to ask her if it's important to go to the party. Carrollite Susan tells Carol it's tomorrow night at 8:30 at Jills House.
297,"#Person1# thinks that she knows #Person2# somewhere, but #Person2# denies it.","#Person1#: Hey, don't you remember where you used to work? #Person2#: No, I don't remember. I used to work at the movie theater downtown.",#Person1# and #Person2# are talking about their work experience. #Person2# is not familiar with #Person1# and #Person1# thinks #Person2# is driving crazy.
298,"#Person1# thinks she has met #Person2# somewhere, but #Person2# thinks it's a mistake.","#Person1#: Hey, don't you remember where you used to work? #Person2#: No, I don't remember. I used to work at the movie theater downtown.",#Person1# and #Person2# are talking about their work experience. #Person2# is not familiar with #Person1# and #Person1# thinks #Person2# is driving crazy.
299,#Person1# keeps asking where #Person2#'s from because she thinks she knows #Person2# but #Person2# denies it.,"#Person1#: Hey, don't you remember where you used to work? #Person2#: No, I don't remember. I used to work at the movie theater downtown.",#Person1# and #Person2# are talking about their work experience. #Person2# is not familiar with #Person1# and #Person1# thinks #Person2# is driving crazy.
300,#Person1# is crazy for Trump and voted for him. #Person2# doesn't agree with #Person1# on Trump and will vote for Biden.,#Person1: I am not sure if Trump is the right person to be President again. #Person2: I have nothing but faith in Trump. #Person1: I am pretty sure he will make America great again! #Person2: Our country is already changing as it is. #Person1: I will vote for Biden anyway.,#Person1# and #Person2# are not sure about Trump being our President again. #Person2# believes he will make America great again but #Person1# will vote for Biden.
301,#Person1# is a crazy fan of Trump and wants him to be re-elected. #Person2# will vote for Biden.,#Person1: I am not sure if Trump is the right person to be President again. #Person2: I have nothing but faith in Trump. #Person1: I am pretty sure he will make America great again! #Person2: Our country is already changing as it is. #Person1: I will vote for Biden anyway.,#Person1# and #Person2# are not sure about Trump being our President again. #Person2# believes he will make America great again but #Person1# will vote for Biden.
302,#Person1# is crazy for Trump and voted for him but #Person2# will vote for Biden.,#Person1: I am not sure if Trump is the right person to be President again. #Person2: I have nothing but faith in Trump. #Person1: I am pretty sure he will make America great again! #Person2: Our country is already changing as it is. #Person1: I will vote for Biden anyway.,#Person1# and #Person2# are not sure about Trump being our President again. #Person2# believes he will make America great again but #Person1# will vote for Biden.
303,#Person1# doesn't know how to use the ATM. #Person2# teaches #Person1# step by step.,#Person1#: I need to use the ATM. #Person2#: OK.,#Person1# needs to use the ATM. #Person2# helps #Person1# figure out how to use it.
304,#Person1# doesn't know how to use an ATM. #Person2# teaches #Person1#.,#Person1#: I need to use the ATM. #Person2#: OK.,#Person1# needs to use the ATM. #Person2# helps #Person1# figure out how to use it.
305,#Person2# is teaching #Person1# how to use an ATM step by step because #Person1# doesn't know how to use.,#Person1#: I need to use the ATM. #Person2#: OK.,#Person1# needs to use the ATM. #Person2# helps #Person1# figure out how to use it.
306,Susan wants to find the memo. John has no idea where it is.,The secretary will give you a copy of the memo.,Susan Miller asks John to give her secretary a copy of the memo about office procedures. John hasn't seen it for ages.
307,Susan Miller is asking John if he knows where the memo is. John has no idea.,The secretary will give you a copy of the memo.,Susan Miller asks John to give her secretary a copy of the memo about office procedures. John hasn't seen it for ages.
308,Susan asks John where a memo is but John doesn't know.,The secretary will give you a copy of the memo.,Susan Miller asks John to give her secretary a copy of the memo about office procedures. John hasn't seen it for ages.
309,#Person1# invites Lily to picnic this weekend. Lily accepts.,Lily and her friends are going to have a picnic this weekend.,"Lily invites #Person1# to take part in their picnic this weekend. #Person1# suggests going to the river, going around and having supper."
310,"#Person1# is inviting Lily to take part in their picnic this weekend, and she accepts.",Lily and her friends are going to have a picnic this weekend.,"Lily invites #Person1# to take part in their picnic this weekend. #Person1# suggests going to the river, going around and having supper."
311,#Person1# invites Lily to take part in their weekend picnic and Lily accepts.,Lily and her friends are going to have a picnic this weekend.,"Lily invites #Person1# to take part in their picnic this weekend. #Person1# suggests going to the river, going around and having supper."
312,#Person1# asks #Person2# about the table manners in China. #Person2# says there are many hazy rules that are different from Western. And #Person2# tells #Person1# stabbing chopsticks into a bowl resembles sacrifices for the death and is very inauspicious.,"#Person1#: Have you ever been invited to a Chinese feast? #Person2#: Yes, I have. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #P",#Person2# tells #Person1# that #Person2# has to use chopsticks to eat at a Chinese table. #Person2# feels hazy about how to behave appropriately at a Chinese table. #Person1# suggests #Person2# place chopsticks horizontally over the bowl or plate and avoid stabing chopsticks.
313,"#Person1# and #Person2# are discussing the differences between China and Western feasts. There are so many rules on the Chinese table, and they both feel hazy about its etiquette.","#Person1#: Have you ever been invited to a Chinese feast? #Person2#: Yes, I have. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #P",#Person2# tells #Person1# that #Person2# has to use chopsticks to eat at a Chinese table. #Person2# feels hazy about how to behave appropriately at a Chinese table. #Person1# suggests #Person2# place chopsticks horizontally over the bowl or plate and avoid stabing chopsticks.
314,#Person1# and #Person2# talk about the difference in table etiquette in China. They both feel hazy about Chinese table etiquette and wrong use of chopsticks can lead to people's enrage.,"#Person1#: Have you ever been invited to a Chinese feast? #Person2#: Yes, I have. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #Person1#: Yes, I've been here for two years. #Person2#: Yes, I've been here for two years. #P",#Person2# tells #Person1# that #Person2# has to use chopsticks to eat at a Chinese table. #Person2# feels hazy about how to behave appropriately at a Chinese table. #Person1# suggests #Person2# place chopsticks horizontally over the bowl or plate and avoid stabing chopsticks.
315,Mary and Frank both like watching movies in their spare time. Mary usually rents movies at Movie Salon and Frank also wants to get a membership to rent movies.,"#Person1#: Hi, Mary. How do you like to spend your spare time?",Mary tells Frank she likes watching movies. Frank likes art films and thrillers. Mary also likes cinema. Mary recommends Movie Salon to rent movies. Frank suggests Mary sign up for the membership.
316,"Frank and Mary both like watching movies in their spare time. Mary usually rents movies at Movie Salon, and Frank is interested in signing up for its membership.","#Person1#: Hi, Mary. How do you like to spend your spare time?",Mary tells Frank she likes watching movies. Frank likes art films and thrillers. Mary also likes cinema. Mary recommends Movie Salon to rent movies. Frank suggests Mary sign up for the membership.
317,Mary and Frank both like watching movies in their spare time. Mary usually rents movies at Movie Salon and Frank also wants to get a membership to rent movies,"#Person1#: Hi, Mary. How do you like to spend your spare time?",Mary tells Frank she likes watching movies. Frank likes art films and thrillers. Mary also likes cinema. Mary recommends Movie Salon to rent movies. Frank suggests Mary sign up for the membership.
318,#Person2# wanted to join a small political party and thinks the smaller group can influence the larger one. #Person1# and #Person2# agree that most people don't fully understand politics.,#Person1#: I think the green party is a good idea.,#Person2# thinks joining the green party is a good idea because #Person2# is concerned about the environment. #Person1# thinks the green party has no chance of winning an election but smaller political and pressure groups can influence large political parties.
319,#Person2# believes smaller political and pressure groups can influence large parties. #Person1# and #Person2# both agree that most people often don't understand politics fully.,#Person1#: I think the green party is a good idea.,#Person2# thinks joining the green party is a good idea because #Person2# is concerned about the environment. #Person1# thinks the green party has no chance of winning an election but smaller political and pressure groups can influence large political parties.
320,#Person2# thought about joining a small party and thinks smaller political and pressure groups can influence larger ones. #Person1# and #Person2# agree most people don't understand political issues fully.,#Person1#: I think the green party is a good idea.,#Person2# thinks joining the green party is a good idea because #Person2# is concerned about the environment. #Person1# thinks the green party has no chance of winning an election but smaller political and pressure groups can influence large political parties.
321,"#Person1# apologizes for mistakes in goods. #Person1# will be responsible for Mr. Wilson's loss, and take measures to avoid such mistakes.",The goods have been delivered incorrectly.,Mr. Wilson apologizes to #Person1# for the mistakes in goods. #Person1# will exchange all merchandise that falls short of the sample. Mr. Wilson assures #Person1# that such a thing will never happen again in future delivery.
322,#Person1# feels sorry for Mr. Wilson's loss caused by #Person1# and assures that such mistakes will not happen again.,The goods have been delivered incorrectly.,Mr. Wilson apologizes to #Person1# for the mistakes in goods. #Person1# will exchange all merchandise that falls short of the sample. Mr. Wilson assures #Person1# that such a thing will never happen again in future delivery.
323,#Person1# apologizes for the loss caused by them to Mr. Wilson and assures that it will never happen again.,The goods have been delivered incorrectly.,Mr. Wilson apologizes to #Person1# for the mistakes in goods. #Person1# will exchange all merchandise that falls short of the sample. Mr. Wilson assures #Person1# that such a thing will never happen again in future delivery.
324,#Person1# asks #Person2# who saw the robbery some questions. #Person2# agrees to come to the station for more questioning.,The robbery happened at the bank.,#Person2# tells #Person1# that #Person2# saw the robbery and saw the guy come in with a gun. #Person2# will come to the station for more questioning.
325,#Person1# asks #Person2# who saw a robbery some questions and #Person2# is willing to go to the station for more questioning.,The robbery happened at the bank.,#Person2# tells #Person1# that #Person2# saw the robbery and saw the guy come in with a gun. #Person2# will come to the station for more questioning.
326,#Person2# tells #Person1# #Person2# witnessed the robbery and agrees to take more questions in the station.,The robbery happened at the bank.,#Person2# tells #Person1# that #Person2# saw the robbery and saw the guy come in with a gun. #Person2# will come to the station for more questioning.
327,#Person1# and #Person2#'s parents are out on a date and will go out for dinner regularly.,"#Person1: Hi, can you tell me what's for dinner tonight?",#Person1# and #Person2# are on their own tonight because dad's taking mom out. They talk about the old tradition of going to dinner and order pizza.
